SourceURL,TargetURL,Status,Type,Note
"https://mclair.com.br/blog/6-dicas-para-lidar-com-invasoes-hackers/","https://pixabay.com/pt/users/iammrrob-5387828/?utm_source=link-attribution&utm_medium=referral&utm_campaign=image&utm_content=2972105","403","externo","possível bot-block (site recusa requisição automatizada, não necessariamente quebrado)"
"https://mclair.com.br/blog/6-dicas-para-lidar-com-invasoes-hackers/","https://pixabay.com/pt/?utm_source=link-attribution&utm_medium=referral&utm_campaign=image&utm_content=2972105","403","externo","possível bot-block (site recusa requisição automatizada, não necessariamente quebrado)"
"https://mclair.com.br/blog/7-tendencias-de-video-content-para-2021/","https://designshack.net/articles/trends/video-marketing-trends/#:~:text=A%20study%20by%20Twentythree.net,videos%20and%20get%20greater%20results.","403","externo","possível bot-block (site recusa requisição automatizada, não necessariamente quebrado)"
"https://mclair.com.br/blog/7-tendencias-de-video-content-para-2021/","https://www.mundodomarketing.com.br/artigos/thiago-cavalcante/38961/marketing-de-influencia-vai-bater-rs-10-bilhoes-em-2021.html","404","externo",""
"https://mclair.com.br/blog/14-09-lambda3-completa-12-anos-e-lanca-podcast-com-olhar-sobre-negocio/","https://lb3.io/spotify-site","erro: ENOTFOUND","externo",""
"https://mclair.com.br/blog/14-09-lambda3-completa-12-anos-e-lanca-podcast-com-olhar-sobre-negocio/","https://www.lambda3.com.br/","erro: ENOTFOUND","externo",""
"https://mclair.com.br/blog/14-09-lambda3-completa-12-anos-e-lanca-podcast-com-olhar-sobre-negocio/","https://lb3.io/apple-podcasts-site","erro: ENOTFOUND","externo",""
"https://mclair.com.br/blog/14-09-lambda3-completa-12-anos-e-lanca-podcast-com-olhar-sobre-negocio/","https://lb3.io/soundcloud-site","erro: ENOTFOUND","externo",""
"https://mclair.com.br/blog/14-09-lambda3-completa-12-anos-e-lanca-podcast-com-olhar-sobre-negocio/","https://lb3.io/google-podcast-site","erro: ENOTFOUND","externo",""
"https://mclair.com.br/blog/a-complexidade-e-a-co-dependencia-entre-humanos-e-tecnologias/","https://www.allianz-partners.com/content/dam/onemarketing/awp/azpartnerscom/brazil/press-releases/Press-release-Report-Mobilidade-Allianz-Partners.pdf","403","externo","possível bot-block (site recusa requisição automatizada, não necessariamente quebrado)"
"https://mclair.com.br/blog/7-tendencias-de-video-content-para-2021/","https://www.abrolhosfilmes.com/data-driven-video-como-aumentar-seu-awareness-com-dados/","404","externo",""
"https://mclair.com.br/blog/abrolhos-filmes-indica-15-producoes-de-2020/","https://www.tdvaificar.com.br/","404","externo",""
"https://mclair.com.br/blog/agro-industrias-brasileiras-de-maquinas-e-equipamentos-buscam-expansao/","https://pixabay.com/pt/users/andreas160578-2383079/?utm_source=link-attribution&utm_medium=referral&utm_campaign=image&utm_content=1919021","403","externo","possível bot-block (site recusa requisição automatizada, não necessariamente quebrado)"
